,종목명,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,매출액,자산총계,부채총계,영업이익,매출액증가율,영업이익증가율,당기순이익,주당순이익,보통부배당금,ROA,PBR,유보율,date
0,삼성전자,100,3420685,5969783,55.94,19352362,18.28,8.69,2304009,3525645,896841,277685,-5.49,-52.84,2304009,3525645,896841,277685,-5.49,-52.84,2020-08-04
1,SK하이닉스,5000,594050,728002,48.15,2972801,38.11,4.25,269907,647895,168463,27127,-33.27,-86.99,269907,647895,168463,27127,-33.27,-86.99,2020-08-04
2,NAVER,100,510859,164263,55.54,1317129,80.30,10.56,65934,122995,57956,7101,18.02,-24.66,65934,122995,57956,7101,18.02,-24.66,2020-08-04
3,삼성바이오로직스,2500,486313,66165,10.17,107412,174.92,4.77,7016,59116,15572,917,30.94,64.77,7016,59116,15572,917,30.94,64.77,2020-08-04
4,LG화학,5000,453203,70592,37.28,889573,359.06,1.84,286250,340244,166406,8956,1.57,-60.12,286250,340244,166406,8956,1.57,-60.12,2020-08-04
5,삼성전자우,100,411443,822887,88.30,1800557,15.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2020-08-04
6,셀트리온,1000,407517,134939,21.18,878207,120.13,11.19,11285,38937,9867,3781,14.91,11.62,11285,38937,9867,3781,14.91,11.62,2020-08-04
7,카카오,500,325031,87846,33.26,1701178,-124.92,-5.81,30701,87373,29971,2068,27.02,183.47,30701,87373,29971,2068,27.02,183.47,2020-08-04
8,삼성SDI,5000,286060,68765,42.54,554359,98.65,2.94,100974,198521,71918,4622,10.26,-35.36,100974,198521,71918,4622,10.26,-35.36,2020-08-04
9,현대차,5000,283110,213668,33.82,2483347,14.04,4.32,1057464,1945122,1181465,36055,9.23,48.86,1057464,1945122,1181465,36055,9.23,48.86,2020-08-04
10,LG생활건강,5000,211470,15618,44.67,27179,30.55,20.32,76854,64937,22566,11764,13.90,13.20,76854,64937,22566,11764,13.90,13.20,2020-08-04
11,현대모비스,5000,197714,95055,44.56,370103,9.21,7.28,380488,466061,141964,23593,8.25,16.51,380488,466061,141964,23593,8.25,16.51,2020-08-04
12,삼성물산,100,196231,186887,14.51,315168,17.88,4.77,307615,459055,192134,8668,-1.27,-21.48,307615,459055,192134,8668,-1.27,-21.48,2020-08-04
13,엔씨소프트,500,185731,21954,50.14,122056,38.73,14.72,17012,33464,8342,4790,-0.81,-22.11,17012,33464,8342,4790,-0.81,-22.11,2020-08-04
14,SK텔레콤,500,182082,80746,34.61,773946,22.20,3.92,177437,446116,217881,11100,5.15,-7.64,177437,446116,217881,11100,5.15,-7.64,2020-08-04
15,POSCO,5000,169142,87187,52.49,226021,11.36,4.18,643668,790587,312640,38689,-0.94,-30.20,643668,790587,312640,38689,-0.94,-30.20,2020-08-04
16,기아차,5000,166807,405363,38.89,1991921,11.56,6.50,581460,553448,263667,20097,7.34,73.63,581460,553448,263667,20097,7.34,73.63,2020-08-04
17,SK,200,161477,70360,22.23,460273,234.42,4.31,992646,1320207,798380,39499,-0.90,-15.67,992646,1320207,798380,39499,-0.90,-15.67,2020-08-04
18,KB금융,5000,147612,415808,64.53,1337853,4.64,8.92,471697,5185381,4794188,44906,12.24,5.23,471697,5185381,4794188,44906,12.24,5.23,2020-08-04
19,신한지주,5000,144174,477397,62.68,1269368,4.35,9.09,300050,5524196,5104892,50463,26.01,12.15,300050,5524196,5104892,50463,26.01,12.15,2020-08-04
20,SK바이오팜,500,137440,78313,2.43,330757,-159.55,-313.66,1239,1391,1521,-793,11172.24,43.02,1239,1391,1521,-793,11172.24,43.02,2020-08-04
21,LG,5000,134940,172557,34.71,522511,11.27,5.87,65753,224346,34136,10241,-15.08,-43.77,65753,224346,34136,10241,-15.08,-43.77,2020-08-04
22,삼성에스디에스,500,129608,77378,12.46,124605,22.87,11.76,107196,90212,22961,9901,6.83,12.85,107196,90212,22961,9901,6.83,12.85,2020-08-04
23,LG전자,5000,127482,163648,33.42,1729974,28.99,0.22,623062,448599,284347,24361,1.57,-9.88,623062,448599,284347,24361,1.57,-9.88,2020-08-04
24,한국전력,5000,123257,641964,17.95,1951732,-8.03,-3.42,591729,1975978,1287081,-12765,-2.40,-513.71,591729,1975978,1287081,-12765,-2.40,-513.71,2020-08-04
25,SK이노베이션,5000,122055,92466,24.00,558249,-6.91,-0.20,498765,395261,213164,12693,-8.01,-39.65,498765,395261,213164,12693,-8.01,-39.65,2020-08-04
26,넷마블,100,113686,85801,23.04,451757,66.58,3.54,21787,58061,11577,2027,7.79,-16.14,21787,58061,11577,2027,7.79,-16.14,2020-08-04
27,KT&G,5000,109834,137292,42.78,298423,10.40,12.39,49632,107121,20062,13820,11.00,10.11,49632,107121,20062,13820,11.00,10.11,2020-08-04
28,삼성전기,5000,104198,74694,33.02,544062,20.96,10.18,80408,86742,32442,7340,0.49,-36.17,80408,86742,32442,7340,0.49,-36.17,2020-08-04
29,삼성생명,500,95400,200000,12.40,330675,12.55,3.26,318040,3127623,2754459,12526,-1.36,-51.51,318040,3127623,2754459,12526,-1.36,-51.51,2020-08-04
30,아모레퍼시픽,500,95287,58458,30.43,187621,60.17,5.36,55801,59890,14902,4278,5.73,-11.23,55801,59890,14902,4278,5.73,-11.23,2020-08-04
31,하나금융지주,5000,87671,300242,65.20,1122717,3.50,8.77,386501,4215061,3925214,32587,18.87,3.38,386501,4215061,3925214,32587,18.87,3.38,2020-08-04
32,삼성화재,500,79116,47375,47.07,186223,14.32,4.85,230334,851722,708507,8626,3.71,-40.54,230334,851722,708507,8626,3.71,-40.54,2020-08-04
33,고려아연,5000,77461,18870,23.46,72750,12.50,9.76,66948,78406,10022,8053,-2.74,5.31,66948,78406,10022,8053,-2.74,5.31,2020-08-04
34,S-Oil,2500,67550,112583,74.64,272685,-7.53,1.01,243942,163334,98368,4201,-4.20,-34.31,243942,163334,98368,4201,-4.20,-34.31,2020-08-04
35,CJ제일제당,5000,62475,15054,21.50,101894,12.24,3.16,223525,262806,167992,8969,19.72,7.70,223525,262806,167992,8969,19.72,7.70,2020-08-04
36,KT,5000,62014,261112,44.77,770757,10.40,4.61,243421,340613,188743,11511,3.76,-8.76,243421,340613,188743,11511,3.76,-8.76,2020-08-04
37,우리금융지주,5000,61898,722268,26.38,1382146,3.31,N/A,227083,3619807,3364884,28000,N/A,N/A,227083,3619807,3364884,28000,N/A,N/A,2020-08-04
38,한국조선해양,5000,61643,70773,16.73,232583,20.77,1.40,151826,250554,121291,2902,15.36,160.28,151826,250554,121291,2902,15.36,160.28,2020-08-04
39,롯데케미칼,5000,58097,34275,28.50,121676,13.83,5.51,151235,200431,59900,11073,-5.91,-43.11,151235,200431,59900,11073,-5.91,-43.11,2020-08-04
40,코웨이,500,55497,73800,60.18,250592,16.61,30.74,30189,28550,17778,4583,11.51,-11.84,30189,28550,17778,4583,11.51,-11.84,2020-08-04
41,기업은행,5000,55471,676472,13.01,1358197,3.56,7.36,169382,3181110,2953344,22279,9.08,-7.03,169382,3181110,2953344,22279,9.08,-7.03,2020-08-04
42,미래에셋대우,5000,55110,645316,13.03,6544420,11.57,7.56,154310,1331498,1239562,7280,15.83,42.09,154310,1331498,1239562,7280,15.83,42.09,2020-08-04
43,오리온,500,54362,39536,43.60,101806,22.90,14.24,20233,24523,7848,3276,5.00,16.09,20233,24523,7848,3276,5.00,16.09,2020-08-04
44,한온시스템,100,52526,533800,20.72,1186733,17.70,14.98,71542,70824,47449,4838,20.49,11.54,71542,70824,47449,4838,20.49,11.54,2020-08-04
45,KODEX 200,0,51750,170850,9.15,4115697,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2020-08-04
46,LG유플러스,5000,49774,436611,32.61,2823461,11.03,6.30,123820,179411,105914,6862,5.60,-7.36,123820,179411,105914,6862,5.60,-7.36,2020-08-04
47,한진칼,2500,48875,59170,17.06,216506,-9.89,-17.56,12035,26937,12730,-39,-7.77,-103.57,12035,26937,12730,-39,-7.77,-103.57,2020-08-04
48,강원랜드,500,48030,213940,25.52,484920,63.06,9.16,15201,44381,7204,5012,5.70,16.36,15201,44381,7204,5012,5.70,16.36,2020-08-04
49,포스코케미칼,500,47266,60988,7.37,614703,57.36,11.57,14838,17301,7238,899,7.24,-15.47,14838,17301,7238,899,7.24,-15.47,2020-08-04
50,LG디스플레이,5000,44727,357816,21.31,1810735,-1.51,-22.35,234756,355746,230863,-13594,-3.54,-1563.42,234756,355746,230863,-13594,-3.54,-1563.42,2020-08-04
51,한화솔루션,5000,43483,159864,19.80,6871163,-15.20,-4.02,95033,156811,98753,3783,5.06,6.77,95033,156811,98753,3783,5.06,6.77,2020-08-04
52,아모레G,500,42961,82458,20.91,68337,46.98,4.12,62843,82814,18012,4982,3.39,-9.32,62843,82814,18012,4982,3.39,-9.32,2020-08-04
53,현대글로비스,500,42000,37500,33.94,120507,7.54,11.25,182701,101297,54595,8765,8.33,23.43,182701,101297,54595,8765,8.33,23.43,2020-08-04
54,신풍제약,500,39739,52985,2.27,4466168,1666.67,0.80,1897,3807,1710,20,1.25,-71.58,1897,3807,1710,20,1.25,-71.58,2020-08-04
55,LG이노텍,5000,39524,23667,32.72,191782,18.31,4.73,83021,57708,35662,4031,4.01,52.98,83021,57708,35662,4031,4.01,52.98,2020-08-04
56,유한양행,1000,39111,66857,21.01,786679,28.38,2.43,14804,21172,4672,125,-2.53,-74.99,14804,21172,4672,125,-2.53,-74.99,2020-08-04
57,맥쿼리인프라,0,38918,349044,19.53,570888,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2020-08-04
58,현대건설,5000,38696,111356,21.90,2175592,8.89,6.30,172788,182270,95120,8597,3.28,2.34,172788,182270,95120,8597,3.28,2.34,2020-08-04
59,현대중공업지주,5000,36969,15799,18.73,43699,-29.79,2.20,266303,257155,138308,6666,-2.30,-22.62,266303,257155,138308,6666,-2.30,-22.62,2020-08-04
60,한미사이언스,500,36042,66011,1.56,6139892,115.19,4.73,8166,9108,2651,380,15.34,45.24,8166,9108,2651,380,15.34,45.24,2020-08-04
61,SK케미칼,5000,35224,11741,11.06,1052519,128.87,1.51,14272,21317,14130,803,4.35,75.67,14272,21317,14130,803,4.35,75.67,2020-08-04
62,CJ대한통운,5000,34789,22812,20.54,41692,49.34,1.41,104151,91100,54548,3072,12.97,26.58,104151,91100,54548,3072,12.97,26.58,2020-08-04
63,에스원,500,34389,37999,55.80,39648,23.82,11.32,21515,17950,4674,1968,6.60,-1.16,21515,17950,4674,1968,6.60,-1.16,2020-08-04
64,삼성중공업,5000,34272,630000,15.29,5057120,-2.39,-21.88,73497,136001,83512,-6166,39.59,-50.66,73497,136001,83512,-6166,39.59,-50.66,2020-08-04
65,한국타이어앤테크놀로지,500,33880,123875,37.13,1369777,8.61,6.03,68833,101646,29774,5440,1.30,-22.58,68833,101646,29774,5440,1.30,-22.58,2020-08-04
66,현대제철,5000,33562,133446,18.64,1198576,-15.82,0.10,205126,343663,171326,3313,-1.29,-67.71,205126,343663,171326,3313,-1.29,-67.71,2020-08-04
67,한미약품,2500,32864,11843,14.58,252568,70.06,7.30,11136,19137,10914,1039,9.62,24.30,11136,19137,10914,1039,9.62,24.30,2020-08-04
68,DB손해보험,500,32674,70800,39.42,158190,7.14,6.92,186761,557778,496287,5116,7.00,-29.01,186761,557778,496287,5116,7.00,-29.01,2020-08-04
69,삼성카드,5000,32672,115859,9.61,172144,9.72,5.04,32934,220382,151418,4497,-1.81,-6.04,32934,220382,151418,4497,-1.81,-6.04,2020-08-04
70,GS,5000,32335,92915,20.96,219006,67.44,6.26,177861,247393,137397,20331,0.24,-8.00,177861,247393,137397,20331,0.24,-8.00,2020-08-04
71,롯데지주,200,32312,104909,11.38,149150,-6.03,-5.21,88562,156058,78132,1749,21.80,77.67,88562,156058,78132,1749,21.80,77.67,2020-08-04
72,이마트,5000,31639,27876,29.68,151564,14.73,2.76,190629,210948,108880,1507,11.81,-67.45,190629,210948,108880,1507,11.81,-67.45,2020-08-04
73,더존비즈온,500,31008,29673,45.83,69354,64.75,18.78,2627,7270,3640,668,15.75,23.69,2627,7270,3640,668,15.75,23.69,2020-08-04
74,하이트진로,5000,30613,70134,10.70,421896,632.61,-3.86,20351,32709,22377,882,7.93,-2.43,20351,32709,22377,882,7.93,-2.43,2020-08-04
75,대한항공,5000,30225,174210,11.87,1166609,-1.55,-22.09,126834,270141,242333,2575,-2.52,-61.64,126834,270141,242333,2575,-2.52,-61.64,2020-08-04
76,대림산업,5000,30172,34800,40.03,806218,5.21,11.74,97001,134452,67085,11301,-11.69,33.69,97001,134452,67085,11301,-11.69,33.69,2020-08-04
77,한국금융지주,5000,29869,55726,33.72,590238,6.97,18.14,107713,607663,557333,9418,27.44,46.54,107713,607663,557333,9418,27.44,46.54,2020-08-04
78,녹십자,5000,28690,11687,18.25,313010,-221.97,-0.35,13697,19593,7752,403,2.61,-19.73,13697,19593,7752,403,2.61,-19.73,2020-08-04
79,SKC,5000,28301,37535,8.26,422897,23.61,3.86,25398,39730,22466,1551,-8.24,-22.90,25398,39730,22466,1551,-8.24,-22.90,2020-08-04
80,호텔신라,5000,27356,39248,21.16,243209,63.02,20.16,57173,35273,26077,2959,21.29,41.49,57173,35273,26077,2959,21.29,41.49,2020-08-04
81,TIGER 200,0,26752,88350,6.41,877083,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2020-08-04
82,두산밥캣,500,26716,100249,22.60,399032,11.26,7.05,45096,67042,27252,4770,13.57,3.91,45096,67042,27252,4770,13.57,3.91,2020-08-04
83,삼성증권,5000,26611,89300,24.73,770276,9.17,8.15,66562,447296,397803,5176,36.11,12.97,66562,447296,397803,5176,36.11,12.97,2020-08-04
84,GS리테일,1000,26372,77000,17.50,213625,14.62,6.25,90069,70548,45040,2388,3.63,32.50,90069,70548,45040,2388,3.63,32.50,2020-08-04
85,LG화학우,5000,26142,7689,57.11,394928,190.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2020-08-04
86,현대차2우B,5000,26014,36485,62.81,272550,7.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2020-08-04
87,NH투자증권,5000,25664,281409,13.18,3255937,8.14,9.12,115035,500751,446830,5754,24.48,6.53,115035,500751,446830,5754,24.48,6.53,2020-08-04
88,쌍용양회,1000,25344,503860,2.63,1320594,18.49,7.02,15385,33288,15263,2284,1.89,-7.51,15385,33288,15263,2284,1.89,-7.51,2020-08-04
89,금호석유,5000,25197,30468,31.65,115923,8.99,11.84,49779,45380,19085,3678,-10.87,-33.69,49779,45380,19085,3678,-10.87,-33.69,2020-08-04
90,KODEX 200선물인버스2X,0,25109,555500,1.84,122542877,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2020-08-04
91,대우조선해양,5000,24925,107206,9.37,164403,2906.25,-1.22,83587,112761,75212,2928,-13.33,-71.43,83587,112761,75212,2928,-13.33,-71.43,2020-08-04
92,두산퓨얼셀,100,24750,55494,4.30,1127802,67.99,N/A,2212,4958,3290,195,N/A,N/A,2212,4958,3290,195,N/A,N/A,2020-08-04
93,한샘,1000,24593,23534,25.13,132032,57.96,7.32,16984,12026,5893,558,-11.93,-0.47,16984,12026,5893,558,-11.93,-0.47,2020-08-04
94,일진머티리얼즈,500,24531,46111,9.83,1587498,46.42,8.52,5502,10369,2127,469,9.60,-3.84,5502,10369,2127,469,9.60,-3.84,2020-08-04
95,CJ,5000,24450,29177,18.45,86342,8.05,6.24,337797,403814,257663,15092,14.42,13.26,337797,403814,257663,15092,14.42,13.26,2020-08-04
96,부광약품,500,24347,64838,6.24,5275333,-226.20,-2.00,1682,3885,620,95,-13.40,-72.85,1682,3885,620,95,-13.40,-72.85,2020-08-04
97,KODEX 레버리지,0,23719,168400,1.69,48651260,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2020-08-04
98,삼성엔지니어링,5000,23716,196000,30.96,1095531,9.03,24.62,63680,45452,32424,3855,16.21,87.05,63680,45452,32424,3855,16.21,87.05,2020-08-04
99,두산중공업,5000,23694,253141,7.46,16380517,-2.41,-14.73,156597,248092,186073,10769,6.09,7.31,156597,248092,186073,10769,6.09,7.31,2020-08-04
100,메리츠증권,1000,23354,675962,12.55,10042208,4.77,15.06,119126,381099,340907,6799,36.31,27.73,119126,381099,340907,6799,36.31,27.73,2020-08-04
101,한국가스공사,5000,23124,92313,9.16,175959,50.91,0.48,249826,393119,311653,13345,-4.59,4.52,249826,393119,311653,13345,-4.59,4.52,2020-08-04
102,농심,5000,23114,6083,19.51,30834,25.48,3.72,23439,26530,7123,788,4.81,-11.00,23439,26530,7123,788,4.81,-11.00,2020-08-04
103,한국항공우주,5000,23053,97475,14.90,356289,11.12,15.84,31102,43671,31840,2756,11.63,88.25,31102,43671,31840,2756,11.63,88.25,2020-08-04
104,GS건설,5000,22628,80098,29.69,3486367,5.08,11.79,104166,131712,90282,7673,-20.72,-27.92,104166,131712,90282,7673,-20.72,-27.92,2020-08-04
105,키움증권,5000,22100,22100,24.52,142560,11.85,16.97,30570,233736,211152,4737,42.41,63.92,30570,233736,211152,4737,42.41,63.92,2020-08-04
106,롯데쇼핑,5000,21895,28289,11.62,44341,-2.05,-8.14,176220,339726,220709,4279,-1.12,-28.32,176220,339726,220709,4279,-1.12,-28.32,2020-08-04
107,제일기획,200,21513,115041,29.44,456540,15.45,15.09,34217,22528,12960,2058,-1.62,13.65,34217,22528,12960,2058,-1.62,13.65,2020-08-04
108,동서,500,21436,99700,5.83,93138,15.76,10.53,5022,14783,1263,385,-10.88,-10.98,5022,14783,1263,385,-10.88,-10.98,2020-08-04
109,BGF리테일,1000,21086,17284,32.11,26801,14.80,26.46,59461,21724,15498,1966,2.95,3.75,59461,21724,15498,1966,2.95,3.75,2020-08-04
110,오뚜기,5000,20514,3605,17.41,6288,17.75,7.79,23597,21521,8056,1483,5.02,-2.27,23597,21521,8056,1483,5.02,-2.27,2020-08-04
111,신세계,5000,20330,9845,28.94,43197,-14.36,14.24,63942,130185,75034,4678,23.31,17.73,63942,130185,75034,4678,23.31,17.73,2020-08-04
112,현대해상,500,20160,89400,40.21,193161,7.17,6.23,168459,463938,418834,3953,6.98,-25.90,168459,463938,418834,3953,6.98,-25.90,2020-08-04
113,HMM,5000,19702,326726,9.30,2392539,-4.02,-55.46,55131,71602,60699,-2997,5.57,46.35,55131,71602,60699,-2997,5.57,46.35,2020-08-04
114,휠라홀딩스,1000,19623,60752,41.98,267521,8.57,23.81,34504,37702,19693,4707,16.78,31.80,34504,37702,19693,4707,16.78,31.80,2020-08-04
115,종근당,2500,19594,10886,14.10,2164602,32.17,11.94,10793,8014,3264,746,12.88,-1.54,10793,8014,3264,746,12.88,-1.54,2020-08-04
116,팬오션,1000,19164,534569,11.03,821318,13.43,5.49,24679,44542,15546,2100,-7.51,2.98,24679,44542,15546,2100,-7.51,2.98,2020-08-04
117,KODEX 단기채권,0,18895,18443,3.25,8937,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2020-08-04
118,한화,5000,18815,74959,18.92,435953,20.90,2.09,504124,1822862,1640222,11257,3.43,-37.67,504124,1822862,1640222,11257,3.43,-37.67,2020-08-04
119,현대엘리베이,5000,17967,38351,25.61,310119,101.63,5.22,18725,25477,15996,1362,-0.25,-4.80,18725,25477,15996,1362,-0.25,-4.80,2020-08-04
120,한솔케미칼,5000,17846,11295,30.14,98816,18.13,20.88,5876,9392,4186,1114,0.97,19.05,5876,9392,4186,1114,0.97,19.05,2020-08-04
121,현대차우,5000,17366,24357,55.99,160188,7.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2020-08-04
122,포스코인터내셔널,5000,17026,123375,16.37,201956,8.08,7.06,244226,89594,59114,6053,-2.99,28.08,244226,89594,59114,6053,-2.99,28.08,2020-08-04
123,BNK금융지주,5000,16818,325935,47.08,1067873,3.22,7.07,52795,1045388,953576,8069,3.55,7.61,52795,1045388,953576,8069,3.55,7.61,2020-08-04
124,NHN,500,16630,19565,11.50,98378,86.91,0.78,14886,25003,6716,867,17.72,26.28,14886,25003,6716,867,17.72,26.28,2020-08-04
125,일양약품,2500,16605,19086,9.89,4928341,200.00,5.20,3246,4375,2147,325,8.18,94.42,3246,4375,2147,325,8.18,94.42,2020-08-04
126,LS ELECTRIC,5000,16350,30000,16.48,146010,16.50,7.82,23468,25381,11755,1685,-5.56,-17.80,23468,25381,11755,1685,-5.56,-17.80,2020-08-04
127,한올바이오파마,500,15881,52241,6.36,296852,80.42,14.90,1085,1914,510,171,18.09,212.21,1085,1914,510,171,18.09,212.21,2020-08-04
128,DB하이텍,5000,15628,44399,31.59,986035,10.91,17.40,8074,10889,4442,1813,20.64,60.45,8074,10889,4442,1813,20.64,60.45,2020-08-04
129,두산인프라코어,5000,15534,209350,4.78,14708175,7.56,11.59,81858,113386,70710,8404,5.90,-0.91,81858,113386,70710,8404,5.90,-0.91,2020-08-04
130,대웅,500,15524,58142,7.47,1051440,23.52,10.43,13657,16682,6419,1075,10.92,20.55,13657,16682,6419,1075,10.92,20.55,2020-08-04
131,현대로템,5000,15258,85000,4.36,1917536,-4.16,-37.93,24593,40843,32014,-2799,1.97,-42.70,24593,40843,32014,-2799,1.97,-42.70,2020-08-04
132,대우건설,5000,15191,415623,13.42,4635449,7.10,8.80,86519,96977,72094,3641,-18.42,-42.10,86519,96977,72094,3641,-18.42,-42.10,2020-08-04
133,LG생활건강우,5000,14992,2100,88.26,1549,16.11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2020-08-04
134,HDC현대산업개발,5000,14796,65907,10.24,2615929,2.64,20.30,42165,44096,21778,5515,50.98,73.46,42165,44096,21778,5515,50.98,73.46,2020-08-04
135,TIGER 단기통안채,0,14715,14623,4.98,2665,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2020-08-04
136,더블유게임즈,500,14663,18375,14.16,331728,12.63,18.93,5138,10747,4276,1546,6.38,13.89,5138,10747,4276,1546,6.38,13.89,2020-08-04
137,아이에스동서,500,14272,30893,5.33,210170,25.57,6.10,9641,28838,16102,662,-39.62,-82.58,9641,28838,16102,662,-39.62,-82.58,2020-08-04
138,메리츠화재,500,14267,113680,11.87,114618,4.32,12.80,101180,232157,207751,3528,20.19,12.80,101180,232157,207751,3528,20.19,12.80,2020-08-04
139,효성,5000,14181,21071,6.39,121975,18.70,4.25,33734,65271,38168,2368,12.36,52.84,33734,65271,38168,2368,12.36,52.84,2020-08-04
140,현대백화점,5000,13901,23402,22.04,70493,8.92,4.64,21989,76231,26438,2922,18.08,-18.06,21989,76231,26438,2922,18.08,-18.06,2020-08-04
141,파미셀,500,13880,59959,6.24,5444871,326.06,8.78,325,633,117,20,14.57,654.71,325,633,117,20,14.57,654.71,2020-08-04
142,씨에스윈드,500,13656,17286,7.99,509369,41.40,9.92,7994,7356,3658,601,59.18,83.65,7994,7356,3658,601,59.18,83.65,2020-08-04
143,OCI,5000,13594,23849,17.55,541369,-1.68,-26.20,26051,48112,21255,-1806,-16.29,-213.82,26051,48112,21255,-1806,-16.29,-213.82,2020-08-04
144,만도,1000,13336,46957,24.20,982837,13.08,7.55,59819,45956,30100,2186,5.60,10.72,59819,45956,30100,2186,5.60,10.72,2020-08-04
145,한국테크놀로지그룹,500,13302,93020,7.86,2910462,9.45,4.71,8476,36071,2285,1709,-0.04,-19.19,8476,36071,2285,1709,-0.04,-19.19,2020-08-04
146,LS,5000,13266,32200,11.08,113470,-31.52,0.80,101762,107635,64922,3520,0.83,-31.67,101762,107635,64922,3520,0.83,-31.67,2020-08-04
147,한전KPS,200,13252,45000,15.82,98511,8.25,14.98,12469,13594,2960,1939,0.36,1.26,12469,13594,2960,1939,0.36,1.26,2020-08-04
148,F&F,500,13044,15400,10.44,92180,11.89,25.13,9103,6844,2007,1507,36.21,64.82,9103,6844,2007,1507,36.21,64.82,2020-08-04
149,한화생명,5000,13028,868530,7.71,3473687,8.15,0.51,249785,1418501,1278568,494,6.61,-92.40,249785,1418501,1278568,494,6.61,-92.40,2020-08-04
150,태영건설,500,12988,76400,7.93,1010055,12.60,8.38,39244,59161,43447,3912,6.32,-14.61,39244,59161,43447,3912,6.32,-14.61,2020-08-04
151,녹십자홀딩스,500,12839,47028,7.35,270578,-606.67,0.37,15248,27739,12673,304,-1.54,-38.42,15248,27739,12673,304,-1.54,-38.42,2020-08-04
152,한화에어로스페이스,5000,12759,50630,15.85,314633,10.04,5.45,52641,87084,58531,1652,18.21,210.71,52641,87084,58531,1652,18.21,210.71,2020-08-04
153,대웅제약,2500,12687,11587,5.24,149582,75.41,4.34,11134,12457,6097,447,7.95,61.93,11134,12457,6097,447,7.95,61.93,2020-08-04
154,SK네트웍스,2500,12459,248188,11.95,875265,-9.54,-5.85,130542,101388,78335,1094,3.23,-18.10,130542,101388,78335,1094,3.23,-18.10,2020-08-04
155,롯데정밀화학,5000,12436,25800,24.21,432052,7.29,11.73,13113,17927,2996,1897,-4.41,-9.99,13113,17927,2996,1897,-4.41,-9.99,2020-08-04
156,KODEX 종합채권(AA-이상)액티브,0,12244,11014,0.00,8488,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2020-08-04
157,현대미포조선,5000,12222,39942,12.18,137856,16.38,2.31,29941,33806,10267,926,24.60,30.64,29941,33806,10267,926,24.60,30.64,2020-08-04
158,KCC,5000,12130,8886,13.46,29273,-2.75,-4.37,27196,93822,49290,1332,-11.73,-33.68,27196,93822,49290,1332,-11.73,-33.68,2020-08-04
159,KODEX 삼성그룹,0,12096,163900,0.03,164087,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2020-08-04
160,KG동부제철,5000,12051,100009,0.15,28713,38.25,-7.44,24283,23553,14658,346,-4.59,311.58,24283,23553,14658,346,-4.59,311.58,2020-08-04
161,메리츠금융지주,500,12007,134011,7.74,193458,3.25,15.26,223151,617641,558022,9623,29.59,19.93,223151,617641,558022,9623,29.59,19.93,2020-08-04
162,영진약품,500,11979,182893,4.59,4528302,233.93,4.43,2205,2004,847,100,18.30,556.35,2205,2004,847,100,18.30,556.35,2020-08-04
163,지누스,500,11828,14407,17.70,58472,14.65,26.32,8171,7551,3809,1039,31.42,95.66,8171,7551,3809,1039,31.42,95.66,2020-08-04
164,드림텍,100,11701,62075,28.87,19726318,54.32,13.24,5597,3771,1560,305,-6.96,-28.13,5597,3771,1560,305,-6.96,-28.13,2020-08-04
165,두산솔루스,100,11609,30590,5.23,441570,84.15,N/A,700,4942,3536,102,N/A,N/A,700,4942,3536,102,N/A,N/A,2020-08-04
166,롯데관광개발,500,11465,69276,7.07,273434,-43.32,-4.77,884,5661,2678,-162,16.27,-637.79,884,5661,2678,-162,16.27,-637.79,2020-08-04
167,KODEX 인버스,0,11390,200700,1.23,22007856,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2020-08-04
168,KODEX 200TR,0,11361,117000,19.75,316065,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2020-08-04
